Neurons,Temperature
1.0,0.0
2.0,2.0203076365428356
4.0,2.2654591995549036
8.0,2.3840175447376337
16.0,2.405952511402529
32.0,2.388450866127969
64.0,2.3141443189095448
128.0,2.3103492733705826
256.0,2.260850150210175
512.0,2.3462224863881476
