Density,Temperature
0.55,0.0
0.6,0.7967270603549018
0.61,0.8622457198031227
0.62,0.9094924420081046
0.63,0.95242188343423
0.64,1.00980376022213
0.65,1.080581520309436
0.7,1.2796979685621028
0.8,1.6971403596136234
0.9,2.071986221126026
1.0,2.3962833551948433
